"# of Use","počet použití"
"%1$s incl tax.","%1$s s daní."
"%s - %s","%s - %s"
"%s Item(s)","položek: %s"
"Are you sure you would like to remove this item from the compare products?","Jste si jisti, že chcete odebrat tuto položku z porovnávaných produktů?"
"Are you sure?","Jste si jisti?"
"As low as:","Nejméně:"
"Assign","Přiřadit"
"Assign product link","Odkaz na přiřazený produkt"
"Assign product to category","Zařadit produkt do kategorie"
"Assigned Products","Přiřazené produkty"
"Associated Products","Související produkty"
"Attrib. Set Name","Název množiny vlastností"
"Attribute ""%s"" is required","vlastnost ""%s"" je vyžadována"
"Attribute Information","Informace o vlastnosti"
"Attribute Model","Model vlastnosti"
"Attribute Name:","Název vlastnosti:"
"Attribute Set","Sada vlastností"
"Attribute Set no longer exists.","Množina vlastností již neexistuje"
"Attribute Set successfully saved.","Množina vlastností byla úspěšně uložena."
"""Attribute group with the \""/name/\"" name already exists""","""Vlastnost skupiny se jménem \""/name/\"" již existuje"""
"Attribute model not defined","Vlastnost modelu není definována"
"Attribute with the same code already exists","Vlastnost s tímto kódem již existuje"
"Attributes","Vlastnosti"
"Attrribute names can be specified per store.","Vlastnost jméno může být specifické pro každý obchod."
"Autogenerate","Vygenerovat automaticky"
"Availability:","Dostupnost:"
"Back","Zpět"
"Backend Model","Model backend-u"
"Backend Table","Tabulka backend-u"
"Backend Table Title","Nadpis tabulky backend-u"
"Backorders","Zpětné objednávky"
"Base directory to upload image file is not specified","Není specifikován výchozí adresář pro nahrávání obrázků"
"Based On","Založeno na"
"Best Value","Nejlepší hodnota"
"Block after Info Column","Blok za informačním sloupcem"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Dole/vlevo"
"Bottom/Right","Dole/vpravo"
"Browse By","Procházet podle"
"Buy %1$s for %2$s","Koupit %1$s za %2$s kus"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koupit %1$s za %2$s (%3$s s daní) kus"
"Buy %1$s for %2$s each","Koupit %1$s za %2$s kus"
"Cache Lifetime (Seconds)","Životnost cache (v sekundách)"
"Can be used only with catalog input type Dropdown","Může být použito pouze s katalogovým vstupem typu ""rozbalovací menu"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Může být použito pouze s katalogovým vstupem typu rozbalovací menu, Vícenásobný výběr a Cena"
"Can't create image.","Nelze vytvořit obrázek."
"Cannot create writeable directory '%s'","Nelze vyrobit zapisovatelný adresář '%s'"
"Cart Item Attribute","Vlastnosti položky košíku"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategorie katalogu (kotva)"
"Catalog Category (Non-Anchor)","Kategorie katalogu (není kotva)"
"Catalog Category (Without Subcategories)","Kategorie katalogu (bez podkategorií)"
"Catalog Category Link","Kategorie katalogu - odkaz"
"Catalog New Products List","Seznam nových produktů"
"Catalog Price Scope","Rozsah katalogových cen"
"Catalog Product Compare List","Seznam porovnávaných produktů"
"Catalog Product Email to a Friend","Poslat známému"
"Catalog Product Image Gallery Popup","Vyskakovací obrázková galerie produktů"
"Catalog Product Link","Katalogový produkt - odkaz"
"Catalog Product View (Any)","Zobrazit všechny produkty"
"Catalog Product View (Configurable)","Zobrazit konfigurovatelné"
"Catalog Product View (Grouped)","Zobrazit skupiny produktů"
"Catalog Product View (Simple)","Zobrazit jednoduché produkty"
"Catalog Product View (Virtual)","Zobrazit virtuální produkty"
"Catalog Section","Katalog"
"Catalog Seo Popular Search Terms","Seo katalog nejvyhledávanějších výrazů"
"Catalog Seo Sitemap (Category List)","Seo mapa stránek (seznam kategorií)"
"Catalog Seo Sitemap (Category Tree)","Seo mapa stránek (strom kategorií)"
"Catalog Seo Sitemap (Common)","Společný Katalog (SEO mapa)"
"Catalog Seo Sitemap (Product List)","Seo mapa produktů"
"Catalog Url Rewrites","Přepis katalogových url"
"Catalog, Search","Katalogu, Vyhledávání"
"Categories","Kategorie"
"Categories Sitemap","Mapa kategorií"
"Category","Kategorie"
"Category API","API kategorií"
"Category Data","Data kategorie"
"Category Flat Data","Sloučit data kategorií"
"Category Link Block Template","Šablona bloku odkazů na kategorie"
"Category Link Inline Template","Category Link Inline Template"
"Category Products","Kategorie Produkty"
"Category Top Navigation","Navigace kategorií"
"Category URL Suffix","Přípona URL kategorie"
"Category attributes API","API vlastností kategorií"
"Category delete error","Chyba při mazání kategorie"
"Category deleted","Kategorie smazána"
"Category move error","Chyba při přesunu kategorie"
"Category move operation is not possible: new parent category not found.","Přesun kategorie není možný. Nová kořenová kategorie nenalezena."
"Category must be instance of Mage_Catalog_Model_Category","Kategorie musí být instancí Mage_Catalog_Model_Category"
"Category saved","Kategorie uložena"
"Center","Střed"
"Change","Změna"
"Change or Retrieve attribute store view","Změna nebo načtení vlastností pohledu obchodu"
"Change status","Změnit stav"
"Check items to add to the cart or","Vybrat položku pro přidání do košíku, nebo"
"Choose an Option...","Vyberte možnost..."
"Clear All","Vymazat vše"
"Close Window","Zavřít okno"
"Collapse All","Sbalit vše"
"Comparable","Porovnavatelný"
"Comparable on Front-end","Porovnavatelný na přední straně"
"Compare","Porovnat"
"Compare Products","Porovnat produkty"
"Compare Products List","Seznam porovnávaných produktů"
"Compare list successfully cleared","Seznam porovnání byl úspěšně vyčištěn"
"Conditions Combination","Kombinace podmínek"
"Configurable Product","Nastavitelný produkt"
"Configurable Product Settings","Nastavení konfigurovatelných produktů"
"Continue","Pokračovat"
"Copy From Configurable","Zkopírovat z konfigurovatelný"
"Country/State","Země/stát"
"Create","Vytvořit"
"Create (Upload)","Vytvořit (Nahrát)"
"Create Empty","Vytvořit prázdné"
"Create Product Settings","Vytvořit nastavení produktu"
"Create Simple Associated Product","Vytvořit jednoduchý přiřazený produkt"
"Create new category","Vytvořit novou kategorii"
"Create new product","Vytvořit nový produkt"
"Cross-sells","Související"
"Currently Shopping by","Nakupovat dle"
"Custom Design","Uživatelský vzhled"
"Custom Options","Vlastní možnosti"
"Customer Group","Skupina zákazníků"
"Customers Reviews","Zákaznické recenze"
"Customers Tagged Product","Zákaznický popis produktu"
"Customers for alert %s was successfuly added to queue","Zákazníci pro zprávy %s byli úspěně přidány do fronty"
"Data Type for Saving in Database","Typ dat pro ukládání do databáze"
"Date & Time Custom Options","Vlastní možnosti Data a Času"
"Date Subscribed","Předplacený od"
"Date fields order","Řazení položek data"
"Datetime","Datum a čas"
"Decimal","Desetinný"
"Declare attribute value saving scope","Rozsah deklarovaných hodnot atributů uložen"
"Default Qty","Výchozí Množství"
"Default Values","Výchozí hodnota"
"Default price","Výchozí cena"
"Delete","Smazat"
"Delete Attribute","Smazat vlastnost"
"Delete Attribute Set","Smazat množinu vlastností"
"Delete Category","Smazat kategorii"
"Delete Option","Smazat možnost"
"Delete Row","Smazat řádek"
"Delete Search","Smazat hledání"
"Delete Selected Group","Smazat označenou skupinu"
"Delete category","Smazat kategorii"
"Delete product","Smazat produkt"
"Depends on design theme","Závisí na grafickém vzhledu"
"Design","Vzhled"
"Disabled","Neaktivní"
"Disallowed file type.","Nepovolený typ souboru."
"Display in Suggested Terms","Zobrazit v nabízených výrazech"
"Double click on a group to rename it","Pro přejmenování skupiny použijte dvojklik"
"Double click on above image to view full picture","Dvojklikem na obrázek ho zobrazíte v plné velikosti"
"Duplicate","Kopírovat"
"Duplicate website tier price customer group and quantity.","Duplikovat řadu cen zákaznických skupin a množství."
"Duplicate website, country and state tax found.","Duplicitní stránky, daně pro země a stát nenalezeny."
"Edit","Upravit"
"Edit Attribute Set '%s'","Upravit množinu vlastností '%s'"
"Edit Product Attribute","Upravit vlastnosti produktu"
"Edit Product Attribute ""%s""","Upravit vlastnosti produktu ""%s"""
"Edit Search","Upravit hledání"
"Edit Search '%s'","Upravit hledání '%s'"
"Edit Set Name","Upravit jméno množiny"
"Email","E-mail"
"Email template is not specified by administrator","Šablona emailu není vybrána administrátorem"
"Email to %s was not sent","Email pro %s nebyl odeslán"
"Email to a Friend","Poslat známému"
"Empty","Prázdné"
"Enable WYSIWYG","Povolit WYSIWYG"
"Enabled","Aktivní"
"Error during retrieval of option value: %s","Chyba během příjmu hodnoty volby: %s"
"Error while adding customers for %s alert. Message: %s","Chyba při přidávání zákazníka pro %s. Zpráva: %s"
"Error while saving Attribute Set.","Chyba při ukládání množiny atributů."
"Error while saving search query. Please try again later.","Chyba při ukládání vyhledávání. Prosím zkuste to později."
"Error while saving this group. Group with the same name already exists.","Chyba při ukládání skupiny. Skupina s tímto jménem již existuje."
"Error while saving this group. Please try again later.","Chyba při ukládání skupiny. Prosím zkuste to později."
"Exclude","Vyřadit"
"Expand All","Rozbalit vše"
"Failed","Neúspěšný"
"Failed to move file: %s","Chybné přesouvání souboru: %s"
"Feature Products","Hlavní produkty"
"Field is not complete","Pole není kompletní"
"File options format is not valid","Formát souboru není povolený"
"File upload failed","Chyba při nahrávání souboru"
"Filter model name must be declared","Filt jména modelu musí být deklarován"
"Filter must be as object. Set correct filter please","Filt musí být objekt. Opravte prosím filtr"
"Filterable (no results)","Filtrovatelné (nevracet výsledky)"
"Filterable (with results)","Filtrovatelné (s výsledky)"
"Filters must be as array","Filtry musí být v poli"
"First Name","Jméno"
"Fixed","Pevné"
"Flat Catalog module has a limit of %2\$d filterable and/or sort able attributes. Currently there are %1\$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Modul flat katalogu má limit %2\$d filtrovatelných a/nebo třídících vlastností. Momentálně je %1\$d. Prosím zredukujte počet filtrovatelných/třídících vlastností v objednávce pro možné použití tohoto modulu."
"For reindex enabled product(s) you need specify store or product","Pro přeindexování povolených produktů musíte specifikovat obchod"
"Frontend","Čelní"
"Frontend Model","Přední model"
"Frontend Properties","Přední vlastnosti"
"Gallery","Galerie"
"General Information","Všeobecné informace"
"Get special price","Speciální cena"
"Global","Globální"
"Globally Editable","Globálně upravitelný"
"Go to Home Page","Na hlavní stránku"
"Grid","Tabulka"
"Grouped Product","Skupina produktů"
"Groups","Skupiny"
"Home","Domů"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Product Name will be used","Pokud ponecháte prázdné, použije se jméno produktu"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Pokud nespecifikujete vlastnost pro obchod, bude použita výchozí hodnota."
"Image","Obrázek"
"Image content is not valid base64 data.","Obsah obrázkunemá platná data base64."
"Image file not found","Obrázek nenalezen"
"Image not exists","Obrázek neexistuje"
"Image not specified.","Obrázek není specifikovaný."
"Image type and information need to be specified for each store view.","Typ a informace o obrázku musí být specifikovány pro každý obchod."
"In Stock","Skladem"
"In stock","Skladem"
"Incl. Tax","S daní"
"Index product and categories url rewrites","Index produktu a url alias kategorií"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index ceny produktu"
"Indexed category/products association","Vazby indexů kategorií/produktů"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Vstupní typ"
"Integer","Celé číslo"
"Invalid Tier Prices","Chybné slevy"
"Invalid attribute %s","Chybná vlastnost %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Byla specifikována neplatná volba pro atribut %s (%s), záznam vynechán"
"Invalid attribute set specified, skipping the record","Byla specifikována neplatná sada atributů, záznam vynechán"
"Invalid block: %s","Neplatný blok: %s"
"Invalid category","Chybná kategorie"
"Invalid category IDs","Chybné ID kategorie"
"Invalid image file type","Chybný typ obrázku"
"Invalid image type.","Chybný typ obrázku."
"Invalid option id specified for %s (%s), skipping the record","Bylo specifikováno neplatné id volby pro %s (%s), záznam vynechán"
"Invalid product type specified, skipping the record","Neplatný typ produktu, záznam vynechán"
"Invalid store specified","Chybně specifikovaný obchod"
"Invalid store specified, skipping the record","Byl vybrán neplatný obchod, záznam vynechán"
"Invalid tier prices. Product is not associated to the requested website.","Chybná sleva. Produkt není přiřazen k vyžadované stránce."
"Invalid transactional email code","Chybný kód transakčního emailu"
"Inventory","Sklad"
"Is Default","Je výchozí"
"Is Required","Je vyžadováno"
"Items %s to %s of %s total","Položky <strong>%s</strong> až <strong>%s</strong> z celkem <strong>%s</strong>"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Položky, které nechcete zobrazovat v katalogu nebo vyhledávání musí mít status ""Vypnuto"" v požadovaném obchodě."
"Keep your eyes open for our special Back to School items and save A LOT!","Podívejte se na naší speciální akci ""Zpět do školy"" a ušetřete."
"Label","Nadpis"
"Last Name","Příjmení"
"Last Notification","Poslední zpráva"
"Learn More","Dozvědět se více"
"Length of text is too long","Délka textu je příliš dlouhá"
"Line %d, Email: %s","Řádek %d, email: %s"
"Line %d, SKU: %s","Řádek %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Odkaz (Odpovídající, Up sell, Cross sell)"
"Link product not exists.","Odkaz na produkt neexistuje."
"Link to a Specified Category","Odkaz na specifickou kategorii."
"Link to a Specified Product","Odkaz na specifický produkt"
"List","Seznam"
"List Mode","Typ seznam"
"List of Products that are set as New","Seznam produktů které mají být nastaveny jako Novinky"
"Manage Attribute Sets","Spravovat množinu vlastností"
"Manage Attributes","Správa vlastností"
"Manage Catalog Categories","Správa kategorií katalogu"
"Manage Categories","Správa kategorií"
"Manage Label / Options","Správa Nadpisů / Možností"
"Manage Options (values of your attribute)","Správa možností (hodnoty pro vlastnosti)"
"Manage Product Attributes","Správa vlastností produktu"
"Manage Product Sets","Spravovat množinu produktů"
"Manage Products","Spravovat produkty"
"Manage Stock","Spravovat sklad"
"Manage Titles (Size, Color, etc.)","Spravovat nadpisy (Velikost, Barva, atd.)"
"Max Characters","Maximálně znaků"
"Maximal Depth","Maximální hloubka"
"Maximum Image Size","Maximální velikost obrázku"
"Maximum Qty Allowed in Shopping Cart","Maximální dovolené množství v košíku"
"Maximum image height","Maximální výška obrázku"
"Maximum image width","Maximální šířka obrázku"
"Maximum number of characters:","Maximální počet znaků:"
"Media Image","Obrázek médií"
"Minimum Lines Per Page","Minimum řádek na stránku"
"Minimum Qty Allowed in Shopping Cart","Minimální množství dovolené v košíku"
"Minimum Qty for Item's Status to be Out of Stock","Minimální množství pro stav Vyprodáno"
"Missing SKU, skipping the record","Chybějící SKU, záznam vynechán"
"More Views","Více pohledů"
"Move","Přesunout"
"Move category in tree","Přesunout kategorii ve stromě"
"Name","Jméno"
"Name In %s","Jméno je: %s"
"Name<br/>(For internal use)","Název<br/>(pro vnitřní účely)"
"New Category","Nová kategorie"
"New Product","Nový produkt"
"New Product Attribute","Nová vlastnost produktu"
"New Products","Nové produkty"
"New Products Grid Template","Nová šablona tabulky produktů"
"New Products List Template","Nová šablona seznamu produktů"
"New Search","Nové hledání"
"New Set Name","Nový název množiny"
"Next","Další"
"No","Ne"
"No image","Žádný obrázek"
"No layout updates","pohled neaktualizován"
"No options of this product are available.","Tento produkt nemá žádné dostupné možnosti."
"No product collections found","Kolekce produktů nenalezeny"
"None","Žádné"
"Not Visible Individually","Nezobrazovat individuální"
"Not defined Product Type for Indexer","Nedefinován typ produktu pro indexer"
"Notify Low Stock RSS","RSS pro upozornění na nízký stav zásob"
"Notify for Quantity Below","Upozornit pro množství menší než"
"Number of Products to Display","Počet produktů pro zobrazení"
"Number of Uses","Počet uživatelů"
"Number of results<br/>(For last time placed)","Počet výsledků<br/>(Pro poslední umístění)"
"OR","NEBO"
"Old Price:","Původní cena:"
"Option validation failed to add product to cart","Ověření vlastností selhalo pro přidání produktu do košíku"
"Option:","Volba:"
"Options Control","Nastavení možností"
"Options is required","Nastavení je vyžadováno"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Náš zákaznický servis je dostupný 24/7. Volejte na (800) DEMO-NUMBER."
"Out of Stock","Není skladem"
"Out of stock","Není skladem"
"PM","Odp."
"Page Title Separator","Oddělovač nadpisu stránek"
"Parent Category","Nadřazená kategorie"
"Pending","Čekající"
"Pending Reviews RSS","RSS pro nevyřešené hodnocení"
"Percentage","Procento"
"Please add rows to option.","Prosím přidejte řádky do možností."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Prosím buďte opatrní, jak jednou klepnete na řádek, budou načtena data z vybraného souboru, všechna neuložená data budou ztracena."
"Please click on Close Window button if it won't be closed automatically","Prosím klikněte na X (zavřít), pokud se okno nezavře automaticky"
"Please enter a new group name","Zadejte nové jméno skupiny"
"Please refresh ""Catalog Url Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Prosím obnovte ""Přepis url katalogu"" a ""Vlastnosti produktu"" v Systém -> <a href=""%s"">Správa indexů</a>"
"Please select  items","Označte produkt/produkty"
"Please select one or more attributes.","Označte jednu nebo více vlastností."
"Please select product(s)","Označte produkt/produkty"
"Please select products for attributes update","Označte produkty pro upravení vlastností"
"Please select static block ...","Vyberte prosím statický blok..."
"Please specify date required option(s)","Prosím specifikujte vyžadované vlastnosti data"
"Please specify the product's option(s).","Prosím zadejte možnost(i) produktu."
"Please specify the product required option(s)","Prosím specifikujte vyžadované možnosti produktu"
"Please specify the product(s) quantity","Prosím specifikujte množství produktů"
"Please specify time required option(s)","Prosím specifikujte vyžadované vlastnosti času"
"Please, use four-digit year format","Prosím použijte čtyřmístný formát roku"
"Position","Pozice"
"Position In Layered Navigation","Umístění ve vrstvě navigace"
"Position of attribute in layered navigation block","Umístění atributu ve vrstvě navigačního bloku"
"Prev","Předchozí"
"Previous","Předchozí"
"Price","Cena"
"Price Type","Typ ceny"
"Price is not available","Cena není dostupná"
"Price values for options should be specified in system base currency.","Nastavení hodnoty ceny může být specifikováno v systému ve výchozí měně."
"Price:","Cena:"
"Print This Page","Vytisknout tuto stránku"
"Problem saving the collection, aborting. Error: %s","Problém při ukládání kolekce, přerušuji. Chyba: %s"
"Product","Produkty"
"Product %s successfully added to compare list","Produkt %s byl úspěšně přidán k porovnání"
"The product %s has been added to comparison list.","Produkt %s byl úspěšně přidán k porovnání"
"Product %s successfully removed from compare list","Produkt %s byl úspěšně odebrán z porovnání"
"Product API","API Produktů"
"Product Alerts","Výstrahy pro produkt"
"Product Attribute","Vlastnost produktu"
"Product Attributes","Vlastnost produktu"
"Product Categories","Kategorie produktu"
"Product Description","Popis produktu"
"Product Flat Data","Sloučit data produktů"
"Product Image Placeholders","Náhrada obrázků produktu"
"Product Image Watermarks","Vodoznak obrázků produktu"
"Product Images","Obrázky produktů"
"Product Images API","API obrázků produktů"
"Product In Websites","Produkt na webových stránkách"
"Product Info Column","Informační sloupec produktu"
"Product Information","Informace o produktu"
"Product Link Block Template","Šablona bloku odkazů na produkty"
"Product Link Inline Template","Šablona vnořených odkazů na produkty"
"Product Name","Název produktu"
"Product Prices","Ceny produktu"
"Product Reviews","Recenze produktů"
"Product Tags","Štítky produktu"
"Product Tier Price API","API slev produktu"
"Product Type","Typ produktu"
"Product URL Suffix","Přidat na konec URL produktu"
"Product attribute sets API","API množiny vlastností produktu"
"Product attribute was successfully deleted","Vlastnost produktu byla úspěšně smazána"
"Product attribute was successfully saved","Vlastnost produktu byla úspěšně uložena"
"Product attributes API","API vlastností produktu"
"Product collection expected","Byla očekávána kolekce produktů"
"Product deleted","Produkt smazán"
"Product duplicated","Produkt duplikován"
"Product has required options","Produkt má vyžadovaná nastavení"
"Product links API (related, cross sells, up sells)","Odkazy API produktů (odpovídající, cross sells, up sells)"
"Product listing sort by","Výpis produktů řadit dle"
"Product saving error. ","Chyba při ukládání produktu."
"Product types API","API typu produktu"
"Product was successfully created.","Produkt byl úspěšně vytvořen."
"Product was successfully saved.","Produkt byl úspěšně uložen."
"Product with this combination of attributes already associated to configurable.","Produkt s kombinací těchto vlastností už je asociován ke konfiguraci."
"Products","Produkty"
"Products Information","Informace o produktu"
"Products Reviews","Recenze produktů"
"Products Sitemap","Mapa produktů"
"Products only","Pouze produkty"
"Products per Page on Grid default value","Výchozí hodnota pro počet produktů na stránce pro tabulku"
"Products per Page on List allowed values","Povolené hodnoty pro seznam produktů na stránku"
"Products per Page on List default value","Výchozí hodnota pro počet produktů na stránce pro seznam"
"Products per page on Grid allowed values","Povolené hodnoty pro tabulku produktů na stránku"
"Properties","Vlastnosti"
"Qty","Množství"
"Qty Uses Decimals","Množství používá desetiny"
"Qty for Item's Status to become Out of Stock","Minimální množství pro stav Vyprodáno"
"Qty:","Množství:"
"Quick Create","Rychlé vytvoření"
"Quick Overview","Rychlý přehled"
"Quick simple product creation","Rychlé vytvoření jednoduchého produktu"
"Records for ""","Záznamy pro """
"Redirect","Přesměrování"
"Redirect URL","Přesměrování URL"
"Regular Price:","Běžná cena:"
"Related Products","Související produkty"
"Remove","Odstranit"
"Remove Product From Websites","Odstranit produkt ze stránek"
"Remove This Item","Odstranit tuto položku"
"Remove product assignment","Odstranit přiřazení produktu"
"Remove product image","Odstranit obrázek produktu"
"Remove product link","Odstranit odkaz produktu"
"Reorganize EAV category structure to flat structure","Přeorganizovat strukturu EAV kategorie na strukturu flat (sloučené)"
"Reorganize EAV product structure to flat structure","Přeorganizovat strukturu EAV produktů na strukturu flat (sloučené)"
"Reset","Vynulovat"
"Results","Výsledky"
"Retrieve attribute data","Načíst data atributů"
"Retrieve attribute list","Získat seznam vlastností"
"Retrieve attribute options","Získat možnosti vlastností"
"Retrieve categories tree","Získat strom kategorií"
"Retrieve category attributes","Získat vlastnosti kategorie"
"Retrieve category data","Získat data kategorie"
"Retrieve hierarchical tree","Získat hierarchický strom"
"Retrieve linked products","Získat odkazy produktů"
"Retrieve list of assigned products","Získat seznam přiřazených produktů"
"Retrieve one level of categories by website/store view/parent category","Získat jednu vrtstvu z kategorií ze stránek/obchodu pohled/rodičovská kategorie"
"Retrieve product","Získat produkt"
"Retrieve product attribute sets","Získat množinu vlastností produktu"
"Retrieve product image","Získat obrázek produktu"
"Retrieve product image list","Obdržet seznam obrázků produktu"
"Retrieve product image types","Získat typ obrázku produktu"
"Retrieve product link type attributes","Získat typy vlastností odkazu produktů"
"Retrieve product link types","Získat typ odkazu produktu"
"Retrieve product tier prices","Získat slevy produktu"
"Retrieve product types","Získat typy produktu"
"Retrieve products data","Získat data produktu"
"Retrieve products list by filters","Získat seznam filtrovaných produktů"
"Review has been successfully saved","Recenze úspěšně uložena"
"Review successfully deleted","Recenze úspěšně smazány"
"Review was removed by another user or does not exists","Recenze byla odstraněna jiným uživatelem a nebo neexistuje"
"Review was successfully saved","Recenze úspěšně uloženy"
"Reviews","Recenze"
"Roll Over for preview","Otočit pro náhled"
"Root","Kořen"
"SKU","SKU"
"Save","Uložit"
"Save And Continue Edit","Uložit a pokračovat v úpravách"
"Save Attribute","Uložit vlastnosti"
"Save Attribute Set","Uložit množinu vlastností"
"Save Category","Uložit kategorii"
"Save Search","Uložit hledání"
"Saved ","Uloženo "
"Scope","Rozsah"
"Search","Hledání"
"Search Engine Optimizations","Optimalizace pro vyhledávání"
"Search Information","Informace o hledání"
"Search Query","Vyhledávací dotaz"
"Search Term with such search query already exist.","Vyhledávaný výraz s tímto dotazem již existuje."
"Search was successfully deleted","Hledání bylo úspěšně smazáno"
"Searchable","Prohledávatelný"
"Select Category...","Vybrat kategorii..."
"Select Configurable Attributes ","Vybrat nastavitelné vlastnosti"
"Select Product...","Vybrat produkt..."
"Select type of option","Vyberte typ možnosti"
"Select type options required values rows.","Vyberte požadované hodnoty řádků."
"Selected Product Types","Vybrané typy produktů"
"Selected configuration is not available.","Vybraná konfigurace není dostupná."
"Send Count","Odeslat množství"
"Set Ascending Direction","Nastavit vzestupně"
"Set Descending Direction","Nastavit sestupně"
"Set Name","Nastavit jméno"
"Set Root Category For Store","Nastavit hlavní kategorii pro obchod"
"Set root category for this store in the <a href=""%s"">configuration</a>","Nastavte hlavní kategorii pro tento obchod v <a href=""%s"">nastavení</a>"
"Set special price","Nastavit speciální cenu"
"Set/Get current store view","Nastavit/získat pohled aktuálního obchodu"
"Settings","Nastavení"
"Shop by","Nakupovat podle"
"Shop By","Nakupovat podle"
"Shopping Options","Nákupní volby"
"Show","Ukázat"
"Show Details","Zobrazit detaily"
"Show Tags","Ukázat štítky"
"Simple Product","Jednoduchý produkt"
"Site Map","Mapa stránek"
"Sitemap","Mapa stránek"
"Skip import row, is not valid value ""%s"" for field ""%s""","Přeskakuji import řádků, neplatná hodnota ""%s"" pro pole ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Přeskakuji import řádků, vyžadované pole ""%s"" pro nového zákazníka není definováno"
"Skip import row, required field ""%s"" for new products not defined","Přeskočen import řádků, požadované pole ""%s"" pro nový produkt není definován"
"Skip import row, required field ""%s"" not defined","Přeskočen import řádků, požadované pole ""%s"" nejsou definované"
"Skip import row, store ""%s"" field not exists","Přeskakuji import řádek, obchod ""%s"" pole neexistuje"
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","Některý z produktů uvedených níže neobsahuje všechny vyžadované položky. Prosím odstraňte je a přidejte znovu s vyžadovanými parametry."
"Sort Order","Pořadí objednávek"
"Sort By","Seřadit podle"
"Source Model","Zdrojový model"
"Special Price:","Zvláštní cena:"
"Starting at:","Začít v:"
"Static","Pevný"
"Static block and products","Statický blok a produkty"
"Static block only","Pouze statické bloky"
"Status","Stav"
"Stock Availability","Skladová dostupnost"
"Store","Obchod"
"Store View","Obchod Pohled"
"Stretch","Natáhnout"
"Subscribe to RSS Feed","Odebírat RSS zdroj"
"Super product attributes configuration","Konfigurace vlastností superproduktů"
"Synonym For","Synonyma pro"
"Synonym for","Synonyma pro"
"System Properties","Vlastnosti systému"
"Tag Name","Jméno štítku"
"Tax","Daň"
"Template","Šablona"
"Text","Text"
